id,model,condition,pass_at_1,pass_at_5,mean_ext_bleu,max_ext_bleu
HFT-0040,mixtral-8x7b,zero_shot,0.0,0.0,0.1104,0.14
HFT-0041,mixtral-8x7b,zero_shot,0.1,0.5,0.1383,0.1507
HFT-0042,mixtral-8x7b,zero_shot,0.0,0.0,0.094,0.1489
HFT-0043,mixtral-8x7b,zero_shot,0.1,0.5,0.0862,0.1594
HFT-0044,mixtral-8x7b,zero_shot,0.5,0.996,0.1284,0.1745
HFT-0045,mixtral-8x7b,zero_shot,0.5,0.996,0.1465,0.2018
HFT-0046,mixtral-8x7b,zero_shot,0.1,0.5,0.1232,0.1555
HFT-0047,mixtral-8x7b,zero_shot,0.0,0.0,0.0764,0.116
HFT-0048,mixtral-8x7b,zero_shot,0.0,0.0,0.1144,0.14
HFT-0049,mixtral-8x7b,zero_shot,0.2,0.7778,0.1362,0.1543
HFT-0050,mixtral-8x7b,zero_shot,0.9,1.0,0.1763,0.2032
HFT-0051,mixtral-8x7b,zero_shot,0.1,0.5,0.1294,0.1502
HFT-0052,mixtral-8x7b,zero_shot,0.0,0.0,0.1016,0.14
HFT-0053,mixtral-8x7b,zero_shot,0.0,0.0,0.1348,0.14
HFT-0054,mixtral-8x7b,zero_shot,0.0,0.0,0.1364,0.14
HFT-0055,mixtral-8x7b,zero_shot,0.0,0.0,0.0752,0.14
HFT-0056,mixtral-8x7b,zero_shot,0.1,0.5,0.1275,0.1514
HFT-0057,mixtral-8x7b,zero_shot,0.0,0.0,0.1176,0.14
HFT-0058,mixtral-8x7b,zero_shot,0.5,0.996,0.1568,0.1961
HFT-0059,mixtral-8x7b,zero_shot,0.0,0.0,0.137,0.1496
HFT-0060,mixtral-8x7b,zero_shot,0.0,0.0,0.136,0.14
HFT-0061,mixtral-8x7b,zero_shot,0.0,0.0,0.0694,0.14
HFT-0062,mixtral-8x7b,zero_shot,0.6,1.0,0.1526,0.1862
HFT-0063,mixtral-8x7b,zero_shot,0.0,0.0,0.106,0.14
HFT-0064,mixtral-8x7b,zero_shot,0.0,0.0,0.1165,0.1477
HFT-0065,mixtral-8x7b,zero_shot,0.2,0.7778,0.1174,0.1674
HFT-0066,mixtral-8x7b,zero_shot,0.6,1.0,0.1402,0.1847
HFT-0067,mixtral-8x7b,zero_shot,0.0,0.0,0.116,0.14
HFT-0068,mixtral-8x7b,zero_shot,0.3,0.9167,0.1278,0.1711
HFT-0069,mixtral-8x7b,zero_shot,0.0,0.0,0.1328,0.14
HFT-0070,mixtral-8x7b,zero_shot,0.1,0.5,0.0509,0.1561
HFT-0071,mixtral-8x7b,zero_shot,0.0,0.0,0.1168,0.14
HFT-0072,mixtral-8x7b,zero_shot,0.0,0.0,0.1288,0.14
HFT-0073,mixtral-8x7b,zero_shot,0.0,0.0,0.102,0.14
HFT-0074,mixtral-8x7b,zero_shot,0.0,0.0,0.116,0.14
HFT-0075,mixtral-8x7b,zero_shot,0.1,0.5,0.1271,0.1557
HFT-0076,mixtral-8x7b,zero_shot,0.0,0.0,0.1407,0.1474
HFT-0077,mixtral-8x7b,zero_shot,0.6,1.0,0.151,0.2025
HFT-0078,mixtral-8x7b,zero_shot,0.0,0.0,0.0584,0.14
HFT-0079,mixtral-8x7b,zero_shot,0.3,0.9167,0.1476,0.1714
HFT-0080,mixtral-8x7b,zero_shot,0.8,1.0,0.1566,0.1792
HFT-0081,mixtral-8x7b,zero_shot,0.0,0.0,0.1296,0.14
HFT-0082,mixtral-8x7b,zero_shot,0.0,0.0,0.1208,0.14
HFT-0083,mixtral-8x7b,zero_shot,0.0,0.0,0.0464,0.1081
HFT-0084,mixtral-8x7b,zero_shot,0.7,1.0,0.1492,0.1903
HFT-0085,mixtral-8x7b,zero_shot,0.1,0.5,0.1259,0.161
